1D 255 -512.000000 260608.000000 [nbin xmin xmax]
"X" "Function_0"
0.000000 1.862812
1024.000000 3.892598
2048.000000 7.607656
3072.000000 11.310469
4096.000000 14.743984
5120.000000 17.617109
6144.000000 21.288516
7168.000000 24.973125
8192.000000 28.243047
9216.000000 31.565313
10240.000000 34.947188
11264.000000 38.715859
12288.000000 41.923828
13312.000000 45.299219
14336.000000 48.687734
15360.000000 51.549844
16384.000000 55.065234
17408.000000 58.344375
18432.000000 61.840547
19456.000000 65.011875
20480.000000 68.271094
21504.000000 71.754922
22528.000000 74.882891
23552.000000 77.643359
24576.000000 81.128125
25600.000000 84.326094
26624.000000 87.307969
27648.000000 90.338047
28672.000000 93.355469
29696.000000 96.142969
30720.000000 99.399609
31744.000000 101.970313
32768.000000 105.362969
33792.000000 107.984687
34816.000000 110.795703
35840.000000 113.872422
36864.000000 116.588750
37888.000000 119.404531
38912.000000 122.134922
39936.000000 124.686406
40960.000000 127.843437
41984.000000 130.161484
43008.000000 132.579609
44032.000000 135.591016
45056.000000 138.024844
46080.000000 140.416172
47104.000000 143.260625
48128.000000 145.658203
49152.000000 147.942891
50176.000000 150.292500
51200.000000 152.636250
52224.000000 154.760547
53248.000000 157.159687
54272.000000 159.560469
55296.000000 161.800391
56320.000000 164.017500
57344.000000 166.239766
58368.000000 168.163984
59392.000000 170.346328
60416.000000 172.343594
61440.000000 174.706250
62464.000000 176.794062
63488.000000 178.765000
64512.000000 180.528437
65536.000000 182.765312
66560.000000 184.596250
67584.000000 186.519531
68608.000000 188.508672
69632.000000 190.104219
70656.000000 192.094844
71680.000000 193.708984
72704.000000 195.394922
73728.000000 196.846641
74752.000000 198.794375
75776.000000 200.362891
76800.000000 201.568125
77824.000000 203.379844
78848.000000 204.805391
79872.000000 206.452109
80896.000000 207.850000
81920.000000 209.403516
82944.000000 210.694297
83968.000000 212.194453
84992.000000 213.445469
86016.000000 214.875469
87040.000000 216.459062
88064.000000 217.610312
89088.000000 218.929844
90112.000000 220.119531
91136.000000 221.219062
92160.000000 222.381719
93184.000000 223.388594
94208.000000 224.743437
95232.000000 225.555156
96256.000000 226.791562
97280.000000 228.040391
98304.000000 229.113281
99328.000000 230.053281
100352.000000 230.954688
101376.000000 232.060625
102400.000000 232.992187
103424.000000 233.874687
104448.000000 234.941094
105472.000000 235.900000
106496.000000 236.662734
107520.000000 237.361797
108544.000000 238.410000
109568.000000 239.260078
110592.000000 240.051875
111616.000000 240.696406
112640.000000 241.409531
113664.000000 242.363672
114688.000000 242.929219
115712.000000 243.742813
116736.000000 244.429141
117760.000000 245.111328
118784.000000 245.614922
119808.000000 246.199453
120832.000000 246.993672
121856.000000 247.419453
122880.000000 248.172734
123904.000000 248.603594
124928.000000 249.112656
125952.000000 249.658672
126976.000000 250.264062
128000.000000 250.769141
129024.000000 251.365547
130048.000000 251.756953
131072.000000 252.240547
132096.000000 252.614375
133120.000000 253.126094
134144.000000 253.536641
135168.000000 253.797344
136192.000000 254.290703
137216.000000 254.547422
138240.000000 255.033047
139264.000000 255.471484
140288.000000 255.813203
141312.000000 256.309922
142336.000000 256.599766
143360.000000 256.843047
144384.000000 257.408984
145408.000000 257.662734
