1D 255 -512.000000 260608.000000 [nbin xmin xmax]
"X" "Function_0"
0.000000 1.515032
1024.000000 4.043737
2048.000000 7.716719
3072.000000 10.795859
4096.000000 14.395000
5120.000000 17.524688
6144.000000 20.739063
7168.000000 23.621562
8192.000000 27.553906
9216.000000 30.491797
10240.000000 34.081484
11264.000000 37.393672
12288.000000 40.541875
13312.000000 44.043750
14336.000000 47.422422
15360.000000 50.503125
16384.000000 53.766562
17408.000000 56.885625
18432.000000 60.125625
19456.000000 63.555625
20480.000000 66.654062
21504.000000 69.901797
22528.000000 72.974219
23552.000000 76.190391
24576.000000 78.832656
25600.000000 81.901172
26624.000000 84.920703
27648.000000 88.346875
28672.000000 91.036641
29696.000000 94.106719
30720.000000 97.073437
31744.000000 99.851328
32768.000000 103.120391
33792.000000 105.780547
34816.000000 108.877891
35840.000000 111.565859
36864.000000 114.143750
37888.000000 116.447266
38912.000000 119.384297
39936.000000 122.295391
40960.000000 124.911484
41984.000000 127.295469
43008.000000 130.154297
44032.000000 132.600000
45056.000000 135.160469
46080.000000 137.761875
47104.000000 140.215313
48128.000000 142.537188
49152.000000 144.777969
50176.000000 147.662812
51200.000000 149.806250
52224.000000 152.275156
53248.000000 154.385938
54272.000000 156.657344
55296.000000 158.954922
56320.000000 161.332188
57344.000000 163.349687
58368.000000 165.406016
59392.000000 167.634687
60416.000000 169.959766
61440.000000 171.650703
62464.000000 173.778047
63488.000000 175.737812
64512.000000 177.712031
65536.000000 180.183906
66560.000000 182.112188
67584.000000 183.865078
68608.000000 185.623281
69632.000000 187.461875
70656.000000 189.100391
71680.000000 191.144375
72704.000000 192.822891
73728.000000 194.563438
74752.000000 196.180391
75776.000000 197.786250
76800.000000 199.420234
77824.000000 200.928516
78848.000000 202.419453
79872.000000 204.035000
80896.000000 205.644922
81920.000000 207.180234
82944.000000 208.550625
83968.000000 209.937031
84992.000000 211.534219
86016.000000 212.892656
87040.000000 214.449375
88064.000000 215.593047
89088.000000 216.908438
90112.000000 218.201250
91136.000000 219.438125
92160.000000 220.855391
93184.000000 221.853047
94208.000000 223.179766
95232.000000 224.148594
96256.000000 225.379297
97280.000000 226.370625
98304.000000 227.669219
99328.000000 228.809531
100352.000000 229.890859
101376.000000 230.665703
102400.000000 231.653984
103424.000000 232.580938
104448.000000 233.566016
105472.000000 234.544531
106496.000000 235.349141
107520.000000 236.223125
108544.000000 237.223203
109568.000000 237.987578
110592.000000 238.966250
111616.000000 239.551094
112640.000000 240.493359
113664.000000 241.320391
114688.000000 242.216328
115712.000000 242.985391
116736.000000 243.622187
117760.000000 244.405469
118784.000000 245.192422
119808.000000 245.861094
120832.000000 246.410000
121856.000000 247.154063
122880.000000 247.577109
123904.000000 248.267813
124928.000000 248.873906
125952.000000 249.357656
126976.000000 250.102031
128000.000000 250.461094
129024.000000 251.057969
130048.000000 251.603984
131072.000000 251.964922
132096.000000 252.470391
133120.000000 252.951172
134144.000000 253.395156
135168.000000 253.930234
136192.000000 254.300938
137216.000000 254.793203
138240.000000 255.173047
139264.000000 255.559141
140288.000000 255.989531
141312.000000 256.301328
142336.000000 256.723984
143360.000000 257.197812
144384.000000 257.367266
145408.000000 257.830859
146432.000000 258.071328
147456.000000 258.385859
148480.000000 258.799609
