1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	1,494305
1024,000000	3,261733
2048,000000	7,016016
3072,000000	10,192031
4096,000000	13,248672
5120,000000	16,708359
6144,000000	20,273828
7168,000000	23,007656
8192,000000	26,276641
9216,000000	29,479531
10240,000000	32,832031
11264,000000	36,288203
12288,000000	39,521563
13312,000000	42,510156
14336,000000	45,920000
15360,000000	48,738984
16384,000000	51,820469
17408,000000	54,995234
18432,000000	58,394375
19456,000000	61,410938
20480,000000	64,444375
21504,000000	67,597266
22528,000000	70,747578
23552,000000	73,499687
24576,000000	76,770781
25600,000000	79,364453
26624,000000	82,388594
27648,000000	85,409297
28672,000000	87,989453
29696,000000	91,190391
30720,000000	94,191406
31744,000000	96,829063
32768,000000	100,237344
33792,000000	102,744531
34816,000000	105,473203
35840,000000	108,212266
36864,000000	111,028828
37888,000000	113,551484
38912,000000	116,107187
39936,000000	118,774531
40960,000000	121,294922
41984,000000	123,914766
43008,000000	126,492578
44032,000000	129,081016
45056,000000	131,681719
46080,000000	133,992891
47104,000000	136,483438
48128,000000	138,940547
49152,000000	141,405781
50176,000000	143,492422
51200,000000	146,018672
52224,000000	148,213672
53248,000000	150,587344
54272,000000	152,913750
55296,000000	154,766719
56320,000000	157,207187
57344,000000	159,233672
58368,000000	161,038906
59392,000000	163,404844
60416,000000	165,632734
61440,000000	167,413516
62464,000000	169,516875
63488,000000	171,667891
64512,000000	173,575781
65536,000000	176,025781
66560,000000	177,793125
67584,000000	179,551875
68608,000000	181,364844
69632,000000	183,385781
70656,000000	185,101797
71680,000000	186,852891
72704,000000	188,541719
73728,000000	190,212734
74752,000000	191,902969
75776,000000	193,593047
76800,000000	195,333984
77824,000000	196,678203
78848,000000	198,128672
79872,000000	199,823203
80896,000000	201,380156
81920,000000	202,904375
82944,000000	204,077031
83968,000000	205,840469
84992,000000	207,493672
86016,000000	208,628516
87040,000000	210,147969
88064,000000	211,522812
89088,000000	212,969141
90112,000000	214,094687
91136,000000	215,185937
92160,000000	216,692344
93184,000000	217,756719
94208,000000	218,876641
95232,000000	220,122891
96256,000000	221,314922
97280,000000	222,479844
98304,000000	223,683125
99328,000000	224,676953
100352,000000	225,774609
101376,000000	226,645391
102400,000000	227,648438
103424,000000	228,740781
