1D 30 69,000000 129,000000	[nbin xmin xmax]
"X"	"Function_0"
70,000000	29,663932
72,000000	37,169424
74,000000	45,759680
76,000000	56,260837
78,000000	61,787353
80,000000	69,737974
82,000000	75,978771
84,000000	80,932363
86,000000	87,527449
88,000000	92,822644
90,000000	97,825810
92,000000	101,507434
94,000000	102,680862
96,000000	104,076626
98,000000	104,508522
100,000000	107,314869
102,000000	106,697785
104,000000	107,237851
106,000000	107,077372
108,000000	105,877657
110,000000	105,930778
112,000000	105,902575
114,000000	104,373026
116,000000	103,980353
118,000000	101,762006
120,000000	100,241766
122,000000	100,343291
124,000000	99,517569
126,000000	95,149085
128,000000	95,019178
